merchant_id,merchant_reference_record_count,merchant_name,merchant_category,business_type,merchant_status,mcc,city,state,declared_avg_ticket_size,merchant_status_values,merchant_category_values,merchant_status_count,merchant_category_count,invalid_mcc_records,suspended_reference_records,merchant_reference_inconsistency_flag
MCH1022,1,Ramesh-Bhat,OTHER,PRIVATE_LIMITED,ACTIVE,,HYDERABAD,TELANGANA,3026.17,ACTIVE,OTHER,1,1,1,0,False
MCH1032,3,MULTIPLE_VALUES,HOTELS,MULTIPLE_VALUES,MULTIPLE_VALUES,7011,MULTIPLE_VALUES,MULTIPLE_VALUES,674.56,ACTIVE | INACTIVE,HOTELS,2,1,0,0,True
MCH1033,2,MULTIPLE_VALUES,MULTIPLE_VALUES,INDIVIDUAL,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,PUNJAB,1871.48,ACTIVE | INACTIVE,HOSPITALITY | PHONE_SERVICE,2,2,1,0,True
MCH1034,1,DEVI-CHAUDHARI,HOSPITALITY,PRIVATE_LIMITED,ACTIVE,7011,DELHI,DELHI,243.38,ACTIVE,HOSPITALITY,1,1,0,0,False
MCH1035,1,Minhas-Khatri,RESTAURANTS,SOLE_PROPRIETOR,ACTIVE,5812,MUMBAY,MAHARASHTRA,5777.68,ACTIVE,RESTAURANTS,1,1,0,0,False
MCH1039,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,4814,MULTIPLE_VALUES,MULTIPLE_VALUES,3062.03,ACTIVE,PHONE_SERVICE | TELECOM,1,2,0,0,True
MCH1040,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,841.9749999999999,ACTIVE,KIRANA | MEDICAL,1,2,0,0,True
MCH1041,1,Pat1a-S0m,FASHION,PRIVATE_LIMITED,ACTIVE,,KOLKATA,WEST_BENGAL,3701.53,ACTIVE,FASHION,1,1,1,0,False
MCH1044,1,"Jha, Salvi and Setty",RETAIL,PARTNERSHIP,ACTIVE,5311,HYDERABAD,TELANGANA,1084.93,ACTIVE,RETAIL,1,1,0,0,False
MCH1047,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,4814,MULTIPLE_VALUES,MULTIPLE_VALUES,1798.73,ACTIVE,HOTELS | TELECOM,1,2,1,0,True
MCH1050,1,Trivedi-Zachariah,APPAREL,SOLE_PROPRIETOR,ACTIVE,5699,JAIPUR,RAJASTHAN,2479.88,ACTIVE,APPAREL,1,1,0,0,False
MCH1053,1,"gera, grover and sehgal",MOBILE_RECHARGE,INDIVIDUAL,ACTIVE,4814,AMRITSAR,PUNJAB,,ACTIVE,MOBILE_RECHARGE,1,1,0,0,False
MCH1054,1,Cheema Ltd,DEPARTMENT_STORE,PRIVATE_LIMITED,ACTIVE,5311,PUNE,MAHARASHTRA,868.09,ACTIVE,DEPARTMENT_STORE,1,1,0,0,False
MCH1055,1,Dhingra-Kapoor,RETAIL,PARTNERSHIP,ACTIVE,5311,BLR,KARNATAKA,,ACTIVE,RETAIL,1,1,0,0,False
MCH1056,1,Mital-Jhaveri,DEPARTMENT_STORES,PARTNERSHIP,ACTIVE,5311,ASR,PUNJAB,5938.05,ACTIVE,DEPARTMENT_STORES,1,1,0,0,False
MCH1058,1,"Vyas,VirkandDatta",DEPT_STORE,PARTNERSHIP,ACTIVE,05311,POONA,MAHARASHTRA,1504.39,ACTIVE,DEPT_STORE,1,1,1,0,False
MCH1059,1,Prasad Ltd,PHONE_SERVICE,PARTNERSHIP,ACTIVE,4814,HYD,TELANGANA,4187.75,ACTIVE,PHONE_SERVICE,1,1,0,0,False
MCH1060,3,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,2371.8,ACTIVE | INACTIVE,DEPT_STORE | RESTAURANTS | TRANSPORT,2,3,1,0,True
MCH1063,1,"Samra, Sur and Venkataraman",RETAIL_OTHER,PRIVATE_LIMITED,ACTIVE,5999,CHENNAI,TAMIL_NADU,1297.7,ACTIVE,RETAIL_OTHER,1,1,0,0,False
MCH1064,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1787.905,ACTIVE,BOOKS | EATING_PLACE,1,2,0,0,True
MCH1068,1,Mall-Palan,OTHER,SOLE_PROPRIETOR,ACTIVE,,JAIPUR,RAJASTHAN,663.04,ACTIVE,OTHER,1,1,1,0,False
MCH1070,1,Pandya PLC,MISC_RETAIL,PRIVATE_LIMITED,ACTIVE,5999,CHENNAI,TAMIL_NADU,1259.2,ACTIVE,MISC_RETAIL,1,1,0,0,False
MCH1071,3,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1028.27,ACTIVE,HOTEL | MEDICAL | PHONE_SERVICE,1,3,1,0,True
MCH1072,1,Kalla-Khalsa,RESTAURANTS,PRIVATE_LIMITED,INACTIVE,5812,MUMBAI,MAHARASHTRA,422.23,INACTIVE,RESTAURANTS,1,1,0,0,False
MCH1073,1,"Dasgupta,RayandDara",MEDICAL_STORE,PARTNERSHIP,SUSPENDED,MISC,LUCKNOW,UTTAR_PRADESH,1002.63,SUSPENDED,MEDICAL_STORE,1,1,1,1,False
MCH1075,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1400.8000000000002,ACTIVE | SUSPENDED,MEDICAL | PHONE_SERVICE,2,2,0,1,True
MCH1077,3,MULTIPLE_VALUES,MULTIPLE_VALUES,INDIVIDUAL,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,606.84,ACTIVE | INACTIVE,DEPARTMENT_STORES | KIRANA | RESTAURANT,2,3,0,0,True
MCH1079,1,Sharaf and Sons,MOBILE_RECHARGE,SOLE_PROPRIETOR,ACTIVE,,POONA,MAHARASHTRA,455.39,ACTIVE,MOBILE_RECHARGE,1,1,1,0,False
MCH1081,1,Mistry Group,FOOD_SERVICES,PRIVATE_LIMITED,ACTIVE,5812,MUMBAY,MAHARASHTRA,2299.04,ACTIVE,FOOD_SERVICES,1,1,0,0,False
MCH1082,1,Oommen Inc,HOTEL,PARTNERSHIP,ACTIVE,7011,AMRITSAR,PUNJAB,833.19,ACTIVE,HOTEL,1,1,0,0,False
MCH1083,2,Chaudhry-Bhat,FOOD,SOLE_PROPRIETOR,MULTIPLE_VALUES,5812,JALANDHAR,PUNJAB,730.39,INACTIVE | SUSPENDED,FOOD,2,1,0,1,True
MCH1084,1,Krishnamurthy Inc,OTHER,PRIVATE_LIMITED,ACTIVE,5999,JALANDAR,PUNJAB,4469.21,ACTIVE,OTHER,1,1,0,0,False
MCH1086,1,Agrawal-Sule,APPAREL,INDIVIDUAL,ACTIVE,MISC,LUDHIANA,PUNJAB,1355.59,ACTIVE,APPAREL,1,1,1,0,False
MCH1087,1,"Mitter, Sawhney and Luthra",HOTELS,PARTNERSHIP,SUSPENDED,7011,MADRAS,TAMIL_NADU,2381.71,SUSPENDED,HOTELS,1,1,0,1,False
MCH1089,2,MULTIPLE_VALUES,MULTIPLE_VALUES,INDIVIDUAL,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,4696.39,ACTIVE,BOOKS_STATIONERY | KIRANA,1,2,2,0,True
MCH1093,1,"dubey, uppal and bhatt",FOOD_SERVICES,PRIVATE_LIMITED,INACTIVE,5812,POONA,MAHARASHTRA,4005.67,INACTIVE,FOOD_SERVICES,1,1,0,0,False
MCH1095,1,Mander Group,PHONE_SERVICE,PARTNERSHIP,ACTIVE,04814,KOLKATA,WEST_BENGAL,1277.94,ACTIVE,PHONE_SERVICE,1,1,1,0,False
MCH1096,1,Subramanian-Prasad,FASHION,INDIVIDUAL,ACTIVE,5699,HYD,TELANGANA,8373.82,ACTIVE,FASHION,1,1,0,0,False
MCH1097,1,"Narayan, Datta and Chowdhury",OTHER,INDIVIDUAL,ACTIVE,5999,LKO,UTTAR_PRADESH,343.8,ACTIVE,OTHER,1,1,0,0,False
MCH1098,1,"raval, yadav and yogi",HOTEL,PRIVATE_LIMITED,ACTIVE,7011,JAIPUR,RAJASTHAN,181.0,ACTIVE,HOTEL,1,1,0,0,False
MCH1100,2,swamy inc,RETAIL,PARTNERSHIP,INACTIVE,5311,LUDHIANA,PUNJAB,2008.22,INACTIVE,RETAIL,1,1,0,0,False
MCH1101,5,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,2025.16,ACTIVE | INACTIVE,EATING_PLACE | MEDICAL | PHARMACIES | PHONE_SERVICE | RESTAURANT,2,5,1,0,True
MCH1104,1,Chander LLC,TELECOM,PRIVATE_LIMITED,ACTIVE,4814,DELHI,DELHI,778.62,ACTIVE,TELECOM,1,1,0,0,False
MCH1106,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,5411,MULTIPLE_VALUES,MULTIPLE_VALUES,1477.06,ACTIVE,GROCERY_STORES | KIRANA,1,2,0,0,True
MCH1107,1,Sen-Das,MOBILE_RECHARGE,PRIVATE_LIMITED,ACTIVE,,MADRAS,TAMIL_NADU,,ACTIVE,MOBILE_RECHARGE,1,1,1,0,False
MCH1109,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1262.18,ACTIVE,BUS_TAXI | DEPARTMENT_STORES,1,2,0,0,True
MCH1115,1,Nadkarni LLC,TRANSPRT,PARTNERSHIP,ACTIVE,4131,JALANDHAR,PUNJAB,6943.0,ACTIVE,TRANSPRT,1,1,0,0,False
MCH1118,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,2262.0,ACTIVE,RETAIL_OTHER | TRANSPORT,1,2,0,0,True
MCH1122,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,5912,MULTIPLE_VALUES,MULTIPLE_VALUES,2715.755,ACTIVE,DEPARTMENT_STORE | MEDICAL,1,2,1,0,True
MCH1124,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,3253.505,ACTIVE,CLOTHING | HOSPITALITY,1,2,0,0,True
MCH1126,1,"Nayak, Dhaliwal and Soman",GROCERY_STORES,PARTNERSHIP,ACTIVE,5411,JALANDHAR,PUNJAB,564.83,ACTIVE,GROCERY_STORES,1,1,0,0,False
MCH1128,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,05999,MULTIPLE_VALUES,MULTIPLE_VALUES,1028.32,ACTIVE,GROCERY_STORE | RETAIL_OTHER,1,2,2,0,True
MCH1130,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,5311,MULTIPLE_VALUES,PUNJAB,2851.765,ACTIVE,DEPARTMENT_STORE | DEPARTMENT_STORES,1,2,0,0,True
MCH1132,1,Cheema Inc,RETAIL_OTHER,SOLE_PROPRIETOR,ACTIVE,5999,LUDHIANA,PUNJAB,,ACTIVE,RETAIL_OTHER,1,1,0,0,False
MCH1133,1,Shere Ltd,PHARMACIES,PARTNERSHIP,ACTIVE,5912,BENGALURU,KARNATAKA,11501.53,ACTIVE,PHARMACIES,1,1,0,0,False
MCH1134,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,05411,MULTIPLE_VALUES,MULTIPLE_VALUES,3265.69,ACTIVE,GROCERY | PHARMACIES,1,2,2,0,True
MCH1136,1,"bahri, kanda and seth",BOOK_STORE,PRIVATE_LIMITED,ACTIVE,5942,MADRAS,TAMIL_NADU,896.84,ACTIVE,BOOK_STORE,1,1,0,0,False
MCH1138,1,"Shan,BuchandTank",BOOKS_STATIONERY,SOLE_PROPRIETOR,ACTIVE,5942,BANGALORE,KARNATAKA,1369.64,ACTIVE,BOOKS_STATIONERY,1,1,0,0,False
MCH1142,2,MULTIPLE_VALUES,MULTIPLE_VALUES,SOLE_PROPRIETOR,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,252.13,ACTIVE,MISC_RETAIL | PHONE_SERVICE,1,2,0,0,True
MCH1143,1,ARYA-KHANNA,TRANSPRT,SOLE_PROPRIETOR,ACTIVE,4131,JALANDHAR,PUNJAB,486.39,ACTIVE,TRANSPRT,1,1,0,0,False
MCH1144,1,Morar-Rattan,CLOTHS,SOLE_PROPRIETOR,ACTIVE,5699,JAIPUR,RAJASTHAN,1182.28,ACTIVE,CLOTHS,1,1,0,0,False
MCH1147,1,Dayal-Sabharwal,PHONE_SERVICE,INDIVIDUAL,INACTIVE,4814,KOLKATA,WEST_BENGAL,939.97,INACTIVE,PHONE_SERVICE,1,1,0,0,False
MCH1148,1,Deep-Manda,BUS_TAXI,INDIVIDUAL,ACTIVE,4131,ASR,PUNJAB,3461.0,ACTIVE,BUS_TAXI,1,1,0,0,False
MCH1152,1,Raman-Choudhury,GROCERY,PARTNERSHIP,ACTIVE,,CHENNAI,TAMIL_NADU,233.0,ACTIVE,GROCERY,1,1,1,0,False
MCH1153,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,513.675,ACTIVE,DEPARTMENT_STORE | MISCELLANEOUS,1,2,0,0,True
MCH1154,3,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,5912,MULTIPLE_VALUES,MULTIPLE_VALUES,655.3,ACTIVE,HOTEL | PHARMACIES,1,2,2,0,True
MCH1155,1,Sha LLC,TRANSPORTATION,SOLE_PROPRIETOR,INACTIVE,4131,AMRITSAR,PUNJAB,1753.08,INACTIVE,TRANSPORTATION,1,1,0,0,False
MCH1159,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1231.37,ACTIVE | INACTIVE,BOOKS_STATIONERY | TELECOM,2,2,0,0,True
MCH1161,1,"Kuruvilla, Pall and Ravel",GROCERY_STORE,PRIVATE_LIMITED,ACTIVE,5411,JALANDHAR,PUNJAB,549.82,ACTIVE,GROCERY_STORE,1,1,0,0,False
MCH1162,1,"Anand, Mistry and Khare",MISCELLANEOUS,PRIVATE_LIMITED,ACTIVE,5999,NEW_DELHI,DELHI,1311.0,ACTIVE,MISCELLANEOUS,1,1,0,0,False
MCH1163,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,3834.345,ACTIVE | INACTIVE,MEDICAL_STORE | TELECOM,2,2,1,0,True
MCH1164,1,Goda PLC,TRANSPORT,PARTNERSHIP,ACTIVE,4131,LUDHIANA,PUNJAB,953.0,ACTIVE,TRANSPORT,1,1,0,0,False
MCH1168,3,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,4780.41,ACTIVE | INACTIVE,APPAREL | CHEMIST | GROCERY,2,3,1,0,True
MCH1169,1,Dey-Gupta,EATING_PLACE,INDIVIDUAL,ACTIVE,5812,BLR,KARNATAKA,1427.7,ACTIVE,EATING_PLACE,1,1,0,0,False
MCH1170,1,"Wali, Bala and Sanghvi",DEPARTMENT_STORE,SOLE_PROPRIETOR,INACTIVE,05311,BLR,KARNATAKA,1109.65,INACTIVE,DEPARTMENT_STORE,1,1,1,0,False
MCH1171,1,Sampath-Shroff,MEDICAL_STORE,PARTNERSHIP,ACTIVE,05912,DILLI,DELHI,393.94,ACTIVE,MEDICAL_STORE,1,1,1,0,False
MCH1174,1,Mander-Kari,GROCERIES,PARTNERSHIP,ACTIVE,05411,JALANDAR,PUNJAB,1013.97,ACTIVE,GROCERIES,1,1,1,0,False
MCH1177,1,"Mistry, Savant and Jha",TRANSPORTATION,SOLE_PROPRIETOR,ACTIVE,4131,AMRITSAR,PUNJAB,1663.99,ACTIVE,TRANSPORTATION,1,1,0,0,False
MCH1179,1,Suresh-Chand,BOOKS,PARTNERSHIP,ACTIVE,5942,MADRAS,TAMIL_NADU,,ACTIVE,BOOKS,1,1,0,0,False
MCH1180,1,Sangha and Sons,GROCERY,INDIVIDUAL,ACTIVE,5411,HYDERABAD,TELANGANA,993.08,ACTIVE,GROCERY,1,1,0,0,False
MCH1183,1,Rajan LLC,FOOD_SERVICES,PRIVATE_LIMITED,ACTIVE,5812,BENGALURU,KARNATAKA,1717.84,ACTIVE,FOOD_SERVICES,1,1,0,0,False
MCH1185,1,"Buch, Barad and Toor",OTHER,PARTNERSHIP,ACTIVE,5999,JALANDHAR,PUNJAB,2955.34,ACTIVE,OTHER,1,1,0,0,False
MCH1188,1,M0rar Ltd,PHARMACIES,INDIVIDUAL,ACTIVE,5912,HYDERABAD,TELANGANA,1156.7,ACTIVE,PHARMACIES,1,1,0,0,False
MCH1189,1,"rai, doctor and dar",APPAREL,SOLE_PROPRIETOR,ACTIVE,5699,MUMBAY,MAHARASHTRA,1513.0,ACTIVE,APPAREL,1,1,0,0,False
MCH1191,1,raval ltd,PHONE_SERVICE,INDIVIDUAL,INACTIVE,4814,KOLKATA,WEST_BENGAL,1670.52,INACTIVE,PHONE_SERVICE,1,1,0,0,False
MCH1193,1,"Padmanabhan, Sekhon and Dhawan",RESTAURANTS,PARTNERSHIP,ACTIVE,5812,LUCKNOW,UTTAR_PRADESH,1712.05,ACTIVE,RESTAURANTS,1,1,0,0,False
MCH1195,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,PUNJAB,553.015,ACTIVE,BOOKS_STATIONERY | TRANSPORT,1,2,0,0,True
MCH1197,1,"Gaba, Wadhwa and Sahni",GROCERY_STORES,PRIVATE_LIMITED,ACTIVE,5411,MUMBAI,MAHARASHTRA,488.96,ACTIVE,GROCERY_STORES,1,1,0,0,False
MCH1199,2,MULTIPLE_VALUES,EATING_PLACE,MULTIPLE_VALUES,ACTIVE,5812,MULTIPLE_VALUES,MULTIPLE_VALUES,3380.8700000000003,ACTIVE,EATING_PLACE,1,1,0,0,False
MCH1200,1,Vora and Sons,CLOTHS,PRIVATE_LIMITED,ACTIVE,,PUNE,MAHARASHTRA,1072.0,ACTIVE,CLOTHS,1,1,1,0,False
MCH1202,1,KOSHY-BORDE,RETAIL,PARTNERSHIP,ACTIVE,5311,LUDHIANA,PUNJAB,1998.99,ACTIVE,RETAIL,1,1,0,0,False
MCH1204,1,Rana Group,DEPARTMENT_STORE,PRIVATE_LIMITED,ACTIVE,5311,JPR,RAJASTHAN,733.33,ACTIVE,DEPARTMENT_STORE,1,1,0,0,False
MCH1207,1,"pillai, oak and barman",FOOD,INDIVIDUAL,ACTIVE,5812,DELHI,DELHI,1280.08,ACTIVE,FOOD,1,1,0,0,False
MCH1210,1,"Dua, Buch and Kaul",BOOK_STORE,PRIVATE_LIMITED,SUSPENDED,,BOMBAY,MAHARASHTRA,1903.0,SUSPENDED,BOOK_STORE,1,1,1,1,False
MCH1211,1,"Munshi, Pai and Sibal",RETAIL,SOLE_PROPRIETOR,ACTIVE,5311,DELHI,DELHI,296.16,ACTIVE,RETAIL,1,1,0,0,False
MCH1213,2,Ray LLC,PHARMACIES,PARTNERSHIP,MULTIPLE_VALUES,5912,PUNE,MAHARASHTRA,1556.0,ACTIVE | INACTIVE,PHARMACIES,2,1,0,0,True
MCH1214,2,MULTIPLE_VALUES,MULTIPLE_VALUES,INDIVIDUAL,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,PUNJAB,1829.91,ACTIVE,DEPARTMENT_STORE | TELECOM,1,2,0,0,True
MCH1216,3,MULTIPLE_VALUES,MULTIPLE_VALUES,SOLE_PROPRIETOR,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,2228.42,ACTIVE,HOTELS | MISC_RETAIL,1,2,0,0,True
MCH1219,3,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,2174.0,ACTIVE,FOOD_SERVICES | GARMENTS | PHARMACIES,1,3,2,0,True
MCH1221,3,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1302.2,ACTIVE | INACTIVE,BOOKS | EATING_PLACE | HOTELS,2,3,1,0,True
MCH1222,1,Dass-Dugar,GROCERY_STORE,SOLE_PROPRIETOR,ACTIVE,5411,KOLKATA,WEST_BENGAL,,ACTIVE,GROCERY_STORE,1,1,0,0,False
MCH1224,1,setty-sami,BOOKS,INDIVIDUAL,ACTIVE,5942,KOLKATA,WEST_BENGAL,609.48,ACTIVE,BOOKS,1,1,0,0,False
MCH1226,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,5912,MULTIPLE_VALUES,MULTIPLE_VALUES,1446.105,ACTIVE,HOTEL | MEDICAL_STORE,1,2,1,0,True
MCH1227,4,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,974.595,ACTIVE,CLOTHING | FOOD | GROCERY_STORE | OTHER,1,4,1,0,True
MCH1229,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,5942,MULTIPLE_VALUES,MULTIPLE_VALUES,1278.12,ACTIVE,RETAIL_OTHER | STATIONERY,1,2,1,0,True
MCH1233,1,"Upadhyay, Lall and Kala",BOOKS,PRIVATE_LIMITED,ACTIVE,5942,PUNE,MAHARASHTRA,,ACTIVE,BOOKS,1,1,0,0,False
MCH1234,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,737.735,ACTIVE,HOSPITALITY | TRANSPRT,1,2,1,0,True
MCH1237,1,Agarwal-Kibe,HOSPITALITY,PARTNERSHIP,ACTIVE,07011,MUMBAY,MAHARASHTRA,750.84,ACTIVE,HOSPITALITY,1,1,1,0,False
MCH1243,1,"Buch, Atwal and Roy",MEDICAL_STORE,PARTNERSHIP,ACTIVE,5912,LUDHIANA,PUNJAB,1323.94,ACTIVE,MEDICAL_STORE,1,1,0,0,False
MCH1245,1,"Kumer, Varghese and Dhawan",CHEMIST,PARTNERSHIP,ACTIVE,,POONA,MAHARASHTRA,725.32,ACTIVE,CHEMIST,1,1,1,0,False
MCH1247,1,"Nayak, Lala and Pillai",GROCERIES,SOLE_PROPRIETOR,INACTIVE,5411,BENGALURU,KARNATAKA,677.02,INACTIVE,GROCERIES,1,1,0,0,False
MCH1249,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1049.44,ACTIVE,OTHER | RETAIL,1,2,1,0,True
