user_id,kyc_record_count,kyc_status_values,kyc_status_count,risk_segment_values,risk_segment_count,rejected_kyc_records,high_risk_kyc_records,pending_kyc_records,median_monthly_income,city_values,occupation_values,invalid_pan_records,invalid_aadhaar_records,latest_kyc_status,latest_risk_segment,latest_signup_timestamp,profile_inconsistency_flag
USR10048,1,PENDING,1,LOW,1,0,0,1,48066.0,BENGALURU,RETIRED,0,0,PENDING,LOW,,False
USR10049,2,VERIFIED,1,MEDIUM,1,0,0,0,34287.0,AMRITSAR | JALANDHAR,GIG_WORKER | SALARIED,1,1,VERIFIED,MEDIUM,2024-05-19 00:00:00,False
USR10052,3,PENDING | VERIFIED,2,MEDIUM,1,0,0,1,61355.0,KOLKATA | LUDHIANA,BUSINESS_OWNER | FREELANCER,1,1,VERIFIED,MEDIUM,2026-01-26 05:06:55,True
USR10054,1,VERIFIED,1,LOW,1,0,0,0,,LUDHIANA,UNEMPLOYED,1,0,VERIFIED,LOW,,False
USR10057,1,VERIFIED,1,MEDIUM,1,0,0,0,,KOLKATA,FREELANCER,0,0,VERIFIED,MEDIUM,,False
USR10059,1,VERIFIED,1,MEDIUM,1,0,0,0,62771.0,JALANDHAR,UNEMPLOYED,0,0,VERIFIED,MEDIUM,2024-06-23 22:19:56,False
USR10064,1,PENDING,1,UNKNOWN,1,0,0,1,,LUDHIANA,GIG_WORKER,0,0,PENDING,UNKNOWN,,False
USR10066,1,PENDING,1,LOW,1,0,0,1,25819.0,JAIPUR,STUDENT,0,0,PENDING,LOW,2025-05-15 00:00:00,False
USR10069,1,VERIFIED,1,MEDIUM,1,0,0,0,49895.0,MUMBAI,BUSINESS_OWNER,0,0,VERIFIED,MEDIUM,,False
USR10070,1,VERIFIED,1,LOW,1,0,0,0,10797.0,LUCKNOW,SALARIED,0,0,VERIFIED,LOW,2025-06-26 00:00:00,False
USR10078,1,VERIFIED,1,HIGH,1,0,1,0,,BANGALORE,UNEMPLOYED,0,0,VERIFIED,HIGH,2025-10-15 00:00:00,False
USR10085,1,VERIFIED,1,MEDIUM,1,0,0,0,,HYD,RETIRED,0,0,VERIFIED,MEDIUM,2025-04-23 00:00:00,False
USR10086,1,REJECTED,1,LOW,1,1,0,0,29650.0,BANGALORE,RETIRED,0,0,REJECTED,LOW,2024-08-08 15:24:44,False
USR10088,2,PENDING | VERIFIED,2,LOW,1,0,0,1,26367.0,LDH,STUDENT,0,0,PENDING,LOW,,True
USR10090,1,VERIFIED,1,LOW,1,0,0,0,13798.0,LUCKNOW,FREELANCER,0,1,VERIFIED,LOW,,False
USR10093,1,VERIFIED,1,HIGH,1,0,1,0,,LUDHIANA,STUDENT,1,0,VERIFIED,HIGH,2025-10-31 01:25:20,False
USR10095,1,VERIFIED,1,LOW,1,0,0,0,33245.0,JALANDAR,GIG_WORKER,0,1,VERIFIED,LOW,2025-07-11 19:32:49,False
USR10096,1,VERIFIED,1,LOW,1,0,0,0,19706.0,HYDERABAD,UNEMPLOYED,0,0,VERIFIED,LOW,2024-07-27 00:00:00,False
USR10097,1,VERIFIED,1,LOW,1,0,0,0,71021.0,KOLKATA,UNEMPLOYED,0,0,VERIFIED,LOW,2025-02-10 00:00:00,False
USR10098,2,REJECTED,1,LOW,1,2,0,0,9421.0,CHENNAI,GIG_WORKER,2,0,REJECTED,LOW,2025-07-22 00:00:00,False
USR10100,1,VERIFIED,1,LOW,1,0,0,0,79104.0,JALANDHAR,STUDENT,1,0,VERIFIED,LOW,2025-04-15 00:00:00,False
USR10101,1,VERIFIED,1,HIGH,1,0,1,0,34.0,JALANDAR,UNEMPLOYED,0,0,VERIFIED,HIGH,2024-07-24 00:00:00,False
USR10106,1,VERIFIED,1,LOW,1,0,0,0,27821.0,LUDHIANA,UNEMPLOYED,1,0,VERIFIED,LOW,2024-01-19 00:00:00,False
USR10107,1,VERIFIED,1,LOW,1,0,0,0,47795.0,HYDERABAD,SELF_EMPLOYED,0,0,VERIFIED,LOW,2026-02-19 00:00:00,False
USR10108,1,VERIFIED,1,MEDIUM,1,0,0,0,21734.0,CHENNAI,SALARIED,1,0,VERIFIED,MEDIUM,2025-11-03 14:51:55,False
USR10114,1,VERIFIED,1,MEDIUM,1,0,0,0,17607.0,NEW_DELHI,RETIRED,1,1,VERIFIED,MEDIUM,2024-03-27 14:07:08,False
USR10115,1,VERIFIED,1,LOW,1,0,0,0,34289.0,MADRAS,SALARIED,0,0,VERIFIED,LOW,2025-09-27 22:29:40,False
USR10123,1,VERIFIED,1,MEDIUM,1,0,0,0,14855.0,LKO,RETIRED,0,0,VERIFIED,MEDIUM,2026-01-15 16:51:32,False
USR10126,1,VERIFIED,1,LOW,1,0,0,0,49735.0,PUNE,UNEMPLOYED,0,0,VERIFIED,LOW,2025-01-21 00:00:00,False
USR10129,1,VERIFIED,1,MEDIUM,1,0,0,0,30244.0,LUCKNOW,FREELANCER,0,0,VERIFIED,MEDIUM,2025-09-13 00:00:00,False
USR10130,1,PENDING,1,LOW,1,0,0,1,52292.0,PUNE,BUSINESS_OWNER,0,0,PENDING,LOW,2024-07-25 00:00:00,False
USR10131,1,VERIFIED,1,UNKNOWN,1,0,0,0,39868.0,MADRAS,BUSINESS_OWNER,0,0,VERIFIED,UNKNOWN,2026-02-14 00:00:00,False
USR10133,1,VERIFIED,1,HIGH,1,0,1,0,38349.0,MUMBAI,SELF_EMPLOYED,0,0,VERIFIED,HIGH,2025-07-20 00:00:00,False
USR10143,1,VERIFIED,1,LOW,1,0,0,0,20853.0,MUMBAI,FARMER,0,0,VERIFIED,LOW,2025-02-26 00:00:00,False
USR10155,1,PENDING,1,HIGH,1,0,1,1,,BOMBAY,SALARIED,0,0,PENDING,HIGH,2024-12-26 04:40:00,False
USR10157,2,VERIFIED,1,HIGH,1,0,2,0,34003.0,PUNE,BUSINESS_OWNER,0,2,VERIFIED,HIGH,2024-10-04 00:00:00,False
USR10161,1,VERIFIED,1,LOW,1,0,0,0,49452.0,JAIPUR,GIG_WORKER,1,0,VERIFIED,LOW,,False
USR10165,1,PENDING,1,LOW,1,0,0,1,,MADRAS,SELF_EMPLOYED,0,0,PENDING,LOW,2025-07-22 00:00:00,False
USR10166,1,VERIFIED,1,MEDIUM,1,0,0,0,35.8,JAIPUR,SALARIED,0,0,VERIFIED,MEDIUM,2024-04-22 00:00:00,False
USR10168,1,PENDING,1,LOW,1,0,0,1,11.3,BLR,RETIRED,0,0,PENDING,LOW,2025-01-06 00:00:00,False
USR10171,2,VERIFIED,1,HIGH | UNKNOWN,2,0,1,0,25671.0,JAIPUR | KOLKATA,BUSINESS_OWNER | SALARIED,1,1,VERIFIED,UNKNOWN,2024-08-12 02:26:04,True
USR10174,1,VERIFIED,1,LOW,1,0,0,0,97324.0,CHENNAI,FARMER,0,0,VERIFIED,LOW,2025-05-24 00:00:00,False
USR10176,1,REJECTED,1,LOW,1,1,0,0,27058.0,CHENNAI,SALARIED,1,1,REJECTED,LOW,,False
USR10182,1,VERIFIED,1,LOW,1,0,0,0,31424.0,PUNE,FREELANCER,1,0,VERIFIED,LOW,2026-01-16 21:12:56,False
USR10185,1,VERIFIED,1,LOW,1,0,0,0,74324.0,ASR,GIG_WORKER,1,0,VERIFIED,LOW,,False
USR10188,3,REJECTED | VERIFIED,2,HIGH | MEDIUM,2,1,2,0,29546.0,DELHI | DILLI,FARMER | GIG_WORKER,0,0,VERIFIED,MEDIUM,2024-05-11 00:00:00,True
USR10192,1,VERIFIED,1,LOW,1,0,0,0,32350.0,BOMBAY,FARMER,0,0,VERIFIED,LOW,2025-07-24 00:00:00,False
USR10194,2,VERIFIED,1,LOW | MEDIUM,2,0,0,0,8557.0,LKO | LUCKNOW,FARMER | SALARIED,1,0,VERIFIED,LOW,2024-04-14 00:00:00,True
USR10195,1,VERIFIED,1,HIGH,1,0,1,0,11451.0,LUDHIANA,STUDENT,0,0,VERIFIED,HIGH,2025-08-30 15:18:09,False
USR10200,1,VERIFIED,1,MEDIUM,1,0,0,0,41384.0,CALCUTTA,UNEMPLOYED,0,0,VERIFIED,MEDIUM,2025-09-01 11:23:45,False
USR10202,2,PENDING | VERIFIED,2,LOW,1,0,0,1,17291.0,BENGALURU | CALCUTTA,BUSINESS_OWNER | UNEMPLOYED,0,0,PENDING,LOW,2026-02-21 00:00:00,True
USR10203,1,VERIFIED,1,MEDIUM,1,0,0,0,49109.0,PUNE,SELF_EMPLOYED,0,0,VERIFIED,MEDIUM,2025-12-31 00:00:00,False
USR10204,1,VERIFIED,1,LOW,1,0,0,0,,LUDHIANA,SELF_EMPLOYED,0,0,VERIFIED,LOW,2025-12-25 00:00:00,False
USR10205,1,VERIFIED,1,MEDIUM,1,0,0,0,11613.0,LUDHIANA,STUDENT,0,0,VERIFIED,MEDIUM,2024-08-16 00:00:00,False
USR10207,1,REJECTED,1,LOW,1,1,0,0,,LUDHIANA,SALARIED,0,1,REJECTED,LOW,2024-01-17 00:00:00,False
USR10209,1,VERIFIED,1,HIGH,1,0,1,0,14.7,BENGALURU,RETIRED,0,0,VERIFIED,HIGH,2024-01-09 00:00:00,False
USR10210,1,PENDING,1,MEDIUM,1,0,0,1,37410.0,JALANDHAR,FREELANCER,0,0,PENDING,MEDIUM,2025-07-14 12:39:47,False
USR10213,1,PENDING,1,HIGH,1,0,1,1,29.7,JAIPUR,STUDENT,0,1,PENDING,HIGH,2025-02-23 03:24:00,False
USR10214,2,PENDING | VERIFIED,2,MEDIUM,1,0,0,1,25164.0,BLR | LUDHIANA,BUSINESS_OWNER | FARMER,0,0,PENDING,MEDIUM,2025-10-28 00:18:34,True
USR10216,1,VERIFIED,1,LOW,1,0,0,0,48670.0,JAIPUR,SALARIED,1,0,VERIFIED,LOW,2024-03-18 00:00:00,False
USR10218,1,VERIFIED,1,MEDIUM,1,0,0,0,28990.0,LUDHIANA,SALARIED,0,0,VERIFIED,MEDIUM,2026-03-12 00:00:00,False
USR10221,1,VERIFIED,1,MEDIUM,1,0,0,0,76407.0,PUNE,UNEMPLOYED,0,0,VERIFIED,MEDIUM,2026-01-07 00:00:00,False
USR10222,1,VERIFIED,1,LOW,1,0,0,0,38181.0,AMRITSAR,STUDENT,0,0,VERIFIED,LOW,2025-04-12 05:18:46,False
USR10223,1,PENDING,1,MEDIUM,1,0,0,1,,HYDERABAD,FREELANCER,0,0,PENDING,MEDIUM,2024-02-17 18:52:51,False
USR10228,1,VERIFIED,1,MEDIUM,1,0,0,0,18999.0,LKO,BUSINESS_OWNER,0,0,VERIFIED,MEDIUM,2025-12-15 00:00:00,False
USR10229,1,VERIFIED,1,MEDIUM,1,0,0,0,22969.0,AMRITSAR,STUDENT,0,0,VERIFIED,MEDIUM,2024-12-16 00:00:00,False
USR10232,1,VERIFIED,1,HIGH,1,0,1,0,11.4,ASR,RETIRED,0,1,VERIFIED,HIGH,2025-10-15 00:00:00,False
USR10233,2,VERIFIED,1,HIGH | LOW,2,0,1,0,59734.0,BANGALORE | JPR,GIG_WORKER | SELF_EMPLOYED,1,1,VERIFIED,LOW,,True
USR10239,2,VERIFIED,1,HIGH | LOW,2,0,1,0,32278.0,HYDERABAD | POONA,FARMER | RETIRED,0,1,VERIFIED,HIGH,2025-05-31 00:00:00,True
USR10241,1,VERIFIED,1,LOW,1,0,0,0,25630.0,MUMBAI,BUSINESS_OWNER,0,1,VERIFIED,LOW,2024-10-27 00:00:00,False
USR10245,1,VERIFIED,1,MEDIUM,1,0,0,0,28505.0,AMRITSAR,STUDENT,0,0,VERIFIED,MEDIUM,2025-10-11 01:03:52,False
USR10249,1,VERIFIED,1,MEDIUM,1,0,0,0,35209.0,MADRAS,UNEMPLOYED,0,0,VERIFIED,MEDIUM,2025-12-30 06:25:47,False
USR10257,1,VERIFIED,1,UNKNOWN,1,0,0,0,15854.0,JALANDHAR,SELF_EMPLOYED,0,0,VERIFIED,UNKNOWN,2025-03-10 12:06:05,False
USR10261,1,VERIFIED,1,LOW,1,0,0,0,34259.0,LUCKNOW,FREELANCER,0,0,VERIFIED,LOW,2025-02-22 00:00:00,False
USR10262,1,VERIFIED,1,LOW,1,0,0,0,,LUCKNOW,RETIRED,0,0,VERIFIED,LOW,2024-07-09 19:09:14,False
USR10264,1,PENDING,1,MEDIUM,1,0,0,1,29708.0,BENGALURU,GIG_WORKER,0,1,PENDING,MEDIUM,,False
USR10265,1,VERIFIED,1,LOW,1,0,0,0,20579.0,PUNE,SALARIED,0,1,VERIFIED,LOW,,False
USR10267,1,VERIFIED,1,LOW,1,0,0,0,33870.0,NEW_DELHI,FARMER,0,0,VERIFIED,LOW,2025-10-15 00:00:00,False
USR10272,1,PENDING,1,LOW,1,0,0,1,57.3,KOLKATA,FARMER,1,0,PENDING,LOW,2024-05-29 00:00:00,False
USR10277,2,VERIFIED,1,LOW | MEDIUM,2,0,0,0,19.9,POONA | PUNE,SALARIED | UNEMPLOYED,0,0,VERIFIED,MEDIUM,2025-05-11 00:00:00,True
USR10278,1,VERIFIED,1,LOW,1,0,0,0,35033.0,BANGALORE,FARMER,0,1,VERIFIED,LOW,2025-04-17 00:00:00,False
USR10285,1,VERIFIED,1,UNKNOWN,1,0,0,0,25.8,LKO,FREELANCER,0,0,VERIFIED,UNKNOWN,,False
USR10288,3,VERIFIED,1,HIGH | MEDIUM | UNKNOWN,3,0,1,0,44713.5,JAIPUR | JALANDAR | MADRAS,RETIRED | SALARIED | UNEMPLOYED,0,2,VERIFIED,HIGH,2026-02-28 00:00:00,True
USR10289,1,PENDING,1,LOW,1,0,0,1,23756.0,BENGALURU,STUDENT,0,0,PENDING,LOW,,False
USR10290,1,VERIFIED,1,LOW,1,0,0,0,7517.0,PUNE,FARMER,0,1,VERIFIED,LOW,2025-03-28 00:00:00,False
USR10293,1,VERIFIED,1,LOW,1,0,0,0,17.9,JAIPUR,UNEMPLOYED,0,0,VERIFIED,LOW,2024-03-20 00:00:00,False
USR10297,1,VERIFIED,1,LOW,1,0,0,0,25349.0,POONA,FREELANCER,0,0,VERIFIED,LOW,2025-03-03 12:15:41,False
USR10298,1,REJECTED,1,LOW,1,1,0,0,28602.0,MUMBAI,RETIRED,0,0,REJECTED,LOW,,False
USR10300,1,VERIFIED,1,LOW,1,0,0,0,35516.0,LUDHIANA,FARMER,0,0,VERIFIED,LOW,,False
USR10304,1,VERIFIED,1,MEDIUM,1,0,0,0,,JALANDHAR,SALARIED,0,0,VERIFIED,MEDIUM,2025-09-18 00:00:00,False
USR10306,1,VERIFIED,1,MEDIUM,1,0,0,0,,DILLI,UNEMPLOYED,1,0,VERIFIED,MEDIUM,,False
USR10309,1,PENDING,1,LOW,1,0,0,1,13000.0,CALCUTTA,STUDENT,1,1,PENDING,LOW,2025-03-12 18:10:14,False
USR10310,2,VERIFIED,1,MEDIUM,1,0,0,0,32802.0,JAIPUR | LUCKNOW,SALARIED | UNEMPLOYED,0,1,VERIFIED,MEDIUM,2026-03-25 00:00:00,False
USR10312,1,VERIFIED,1,LOW,1,0,0,0,19368.0,LUDHIANA,STUDENT,0,0,VERIFIED,LOW,2025-06-10 00:00:00,False
USR10317,1,VERIFIED,1,LOW,1,0,0,0,32899.0,HYDERABAD,SELF_EMPLOYED,0,0,VERIFIED,LOW,,False
USR10318,1,VERIFIED,1,MEDIUM,1,0,0,0,27205.0,ASR,RETIRED,0,0,VERIFIED,MEDIUM,2024-05-14 16:30:20,False
USR10326,4,PENDING | VERIFIED,2,LOW,1,0,0,2,,AMRITSAR | HYD | LUDHIANA | MUMBAI,FREELANCER | GIG_WORKER | SELF_EMPLOYED | STUDENT,0,0,VERIFIED,LOW,2026-01-19 00:00:00,True
USR10329,2,VERIFIED,1,LOW | MEDIUM,2,0,0,0,40945.5,HYDERABAD | LUDHIANA,BUSINESS_OWNER | GIG_WORKER,0,1,VERIFIED,LOW,2025-02-19 11:52:06,True
USR10331,2,PENDING | VERIFIED,2,LOW,1,0,0,1,51778.0,BENGALURU | MUMBAI,FREELANCER | SALARIED,1,0,PENDING,LOW,2025-09-05 00:00:00,True
USR10335,1,VERIFIED,1,LOW,1,0,0,0,28904.0,CHENNAI,UNEMPLOYED,0,0,VERIFIED,LOW,2025-03-07 00:00:00,False
USR10340,1,VERIFIED,1,UNKNOWN,1,0,0,0,26679.0,LUCKNOW,RETIRED,0,0,VERIFIED,UNKNOWN,2025-03-12 14:10:54,False
USR10341,1,VERIFIED,1,MEDIUM,1,0,0,0,59899.0,POONA,UNEMPLOYED,0,0,VERIFIED,MEDIUM,,False
USR10342,1,VERIFIED,1,UNKNOWN,1,0,0,0,34469.0,LUCKNOW,UNEMPLOYED,0,0,VERIFIED,UNKNOWN,,False
USR10347,1,VERIFIED,1,HIGH,1,0,1,0,12979.0,CHENNAI,UNEMPLOYED,0,0,VERIFIED,HIGH,2024-10-17 00:00:00,False
USR10349,1,VERIFIED,1,LOW,1,0,0,0,45629.0,MUMBAI,FARMER,0,0,VERIFIED,LOW,,False
USR10351,1,PENDING,1,LOW,1,0,0,1,55887.0,POONA,FREELANCER,1,1,PENDING,LOW,,False
USR10353,1,VERIFIED,1,MEDIUM,1,0,0,0,,BENGALURU,STUDENT,0,1,VERIFIED,MEDIUM,,False
USR10356,1,VERIFIED,1,MEDIUM,1,0,0,0,31980.0,MADRAS,UNEMPLOYED,0,1,VERIFIED,MEDIUM,,False
USR10357,1,VERIFIED,1,LOW,1,0,0,0,30960.0,DELHI,FREELANCER,0,1,VERIFIED,LOW,2025-10-27 00:00:00,False
USR10359,2,VERIFIED,1,MEDIUM,1,0,0,0,32975.0,BLR | LUDHIANA,RETIRED | STUDENT,0,0,VERIFIED,MEDIUM,2025-02-16 00:00:00,False
USR10361,1,VERIFIED,1,LOW,1,0,0,0,29294.0,BOMBAY,FREELANCER,0,0,VERIFIED,LOW,2024-07-23 00:00:00,False
USR10363,1,VERIFIED,1,UNKNOWN,1,0,0,0,16604.0,JAIPUR,BUSINESS_OWNER,0,0,VERIFIED,UNKNOWN,2024-06-09 00:00:00,False
USR10369,1,VERIFIED,1,LOW,1,0,0,0,,JALANDHAR,RETIRED,0,0,VERIFIED,LOW,,False
USR10374,1,VERIFIED,1,LOW,1,0,0,0,86817.0,BENGALURU,GIG_WORKER,0,0,VERIFIED,LOW,2025-02-14 12:54:00,False
USR10376,1,PENDING,1,LOW,1,0,0,1,19619.0,CHENNAI,FARMER,0,0,PENDING,LOW,2024-11-15 08:34:57,False
USR10377,1,VERIFIED,1,MEDIUM,1,0,0,0,17386.0,NEW_DELHI,GIG_WORKER,0,0,VERIFIED,MEDIUM,2024-03-01 12:41:55,False
USR10379,1,VERIFIED,1,MEDIUM,1,0,0,0,12843.0,CHENNAI,RETIRED,0,1,VERIFIED,MEDIUM,2024-09-19 18:55:57,False
USR10382,1,VERIFIED,1,LOW,1,0,0,0,16913.0,LDH,SELF_EMPLOYED,0,0,VERIFIED,LOW,2025-12-20 00:00:00,False
USR10384,3,PENDING | REJECTED,2,LOW,1,2,0,1,25854.0,BANGALORE | BENGALURU,FARMER | FREELANCER,0,0,REJECTED,LOW,2024-12-27 00:00:00,True
USR10388,1,VERIFIED,1,LOW,1,0,0,0,95632.0,LUCKNOW,STUDENT,0,1,VERIFIED,LOW,2024-05-26 12:38:53,False
USR10392,1,VERIFIED,1,LOW,1,0,0,0,46978.0,ASR,BUSINESS_OWNER,0,0,VERIFIED,LOW,2026-03-17 21:59:55,False
USR10393,1,VERIFIED,1,HIGH,1,0,1,0,56752.0,DELHI,STUDENT,0,0,VERIFIED,HIGH,2025-07-17 22:30:03,False
USR10399,3,VERIFIED,1,LOW | MEDIUM,2,0,0,0,29509.5,JALANDAR | MADRAS,FARMER | SALARIED,0,0,VERIFIED,LOW,2026-03-15 01:12:00,True
USR10401,2,VERIFIED,1,HIGH | LOW,2,0,1,0,20.8,HYDERABAD | LDH,BUSINESS_OWNER | UNEMPLOYED,0,0,VERIFIED,HIGH,2024-11-24 00:00:00,True
USR10408,1,VERIFIED,1,MEDIUM,1,0,0,0,,DELHI,STUDENT,0,0,VERIFIED,MEDIUM,2025-04-22 00:00:00,False
USR10415,1,VERIFIED,1,LOW,1,0,0,0,,PUNE,SELF_EMPLOYED,0,1,VERIFIED,LOW,2025-01-29 05:15:19,False
USR10416,1,VERIFIED,1,LOW,1,0,0,0,18411.0,CHENNAI,BUSINESS_OWNER,0,0,VERIFIED,LOW,2024-09-26 00:00:00,False
USR10423,1,VERIFIED,1,HIGH,1,0,1,0,42283.0,LUCKNOW,FARMER,0,0,VERIFIED,HIGH,2025-10-04 19:46:42,False
USR10431,1,VERIFIED,1,MEDIUM,1,0,0,0,23047.0,DELHI,GIG_WORKER,0,0,VERIFIED,MEDIUM,,False
USR10436,2,REJECTED | VERIFIED,2,LOW | UNKNOWN,2,1,0,0,13816.0,AMRITSAR | JALANDAR,RETIRED | UNEMPLOYED,0,0,VERIFIED,LOW,2025-08-28 00:00:00,True
USR10442,2,VERIFIED,1,LOW,1,0,0,0,44491.0,AMRITSAR | DELHI,RETIRED | STUDENT,0,0,VERIFIED,LOW,2025-08-15 05:46:22,False
USR10444,1,VERIFIED,1,LOW,1,0,0,0,24273.0,MUMBAI,BUSINESS_OWNER,0,0,VERIFIED,LOW,2024-11-15 00:00:00,False
USR10446,2,VERIFIED,1,LOW,1,0,0,0,34997.0,NEW_DELHI,SALARIED,2,0,VERIFIED,LOW,2025-08-10 00:00:00,False
USR10447,1,VERIFIED,1,LOW,1,0,0,0,29407.0,ASR,SALARIED,0,0,VERIFIED,LOW,2025-12-15 19:42:00,False
USR10448,3,VERIFIED,1,MEDIUM | UNKNOWN,2,0,0,0,29799.0,BENGALURU | LKO | POONA,BUSINESS_OWNER | RETIRED | SELF_EMPLOYED,1,0,VERIFIED,MEDIUM,2025-12-21 00:00:00,True
USR10450,1,VERIFIED,1,LOW,1,0,0,0,,DELHI,UNEMPLOYED,0,0,VERIFIED,LOW,2024-05-31 00:00:00,False
USR10458,1,VERIFIED,1,LOW,1,0,0,0,56863.0,LKO,FREELANCER,0,1,VERIFIED,LOW,2025-09-21 00:21:17,False
USR10468,2,PENDING | VERIFIED,2,LOW,1,0,0,1,,BENGALURU | JALANDHAR,BUSINESS_OWNER | UNEMPLOYED,0,0,VERIFIED,LOW,2026-02-17 00:00:00,True
USR10470,1,PENDING,1,LOW,1,0,0,1,7325.0,NEW_DELHI,FREELANCER,0,0,PENDING,LOW,2025-06-17 00:00:00,False
USR10475,1,VERIFIED,1,LOW,1,0,0,0,20014.0,PUNE,BUSINESS_OWNER,0,0,VERIFIED,LOW,2025-07-28 00:00:00,False
USR10476,1,PENDING,1,LOW,1,0,0,1,54441.0,LKO,SELF_EMPLOYED,0,1,PENDING,LOW,2024-02-03 06:02:47,False
USR10478,1,VERIFIED,1,LOW,1,0,0,0,17575.0,ASR,SELF_EMPLOYED,0,0,VERIFIED,LOW,,False
USR10487,1,VERIFIED,1,MEDIUM,1,0,0,0,29347.0,MUMBAI,FARMER,0,1,VERIFIED,MEDIUM,2024-12-05 00:00:00,False
USR10489,3,VERIFIED,1,LOW | MEDIUM,2,0,0,0,28400.0,ASR | PUNE,FREELANCER | UNEMPLOYED,0,0,VERIFIED,MEDIUM,2026-03-05 00:00:00,True
USR10498,1,VERIFIED,1,MEDIUM,1,0,0,0,26041.0,MUMBAI,UNEMPLOYED,0,0,VERIFIED,MEDIUM,2025-03-05 00:00:00,False
USR10499,2,VERIFIED,1,LOW | MEDIUM,2,0,0,0,32001.0,HYD | HYDERABAD,GIG_WORKER | SALARIED,0,0,VERIFIED,LOW,2024-03-22 00:00:00,True
USR10500,3,REJECTED | VERIFIED,2,LOW | MEDIUM,2,1,0,0,28656.0,JPR | LKO,SALARIED,1,0,REJECTED,LOW,2024-02-05 00:00:00,True
USR10504,1,VERIFIED,1,LOW,1,0,0,0,41245.0,KOLKATA,FREELANCER,0,0,VERIFIED,LOW,2024-05-25 00:00:00,False
USR10505,2,PENDING | VERIFIED,2,LOW | MEDIUM,2,0,0,1,28772.0,BENGALURU | LUDHIANA,SELF_EMPLOYED | STUDENT,0,0,VERIFIED,MEDIUM,2025-09-04 00:40:46,True
USR10506,1,VERIFIED,1,LOW,1,0,0,0,,NEW_DELHI,RETIRED,0,0,VERIFIED,LOW,,False
USR10507,1,VERIFIED,1,LOW,1,0,0,0,36.2,DILLI,STUDENT,0,0,VERIFIED,LOW,2024-07-20 08:41:46,False
USR10508,1,PENDING,1,MEDIUM,1,0,0,1,27170.0,POONA,FREELANCER,0,0,PENDING,MEDIUM,,False
USR10510,1,VERIFIED,1,LOW,1,0,0,0,15808.0,MADRAS,SALARIED,0,0,VERIFIED,LOW,2024-11-01 04:30:10,False
USR10512,1,VERIFIED,1,HIGH,1,0,1,0,13940.0,LUCKNOW,FREELANCER,0,0,VERIFIED,HIGH,,False
USR10515,3,VERIFIED,1,LOW,1,0,0,0,39.5,JAIPUR | LDH | LUDHIANA,STUDENT | UNEMPLOYED,0,0,VERIFIED,LOW,2025-06-30 00:00:00,False
