merchant_id,transaction_count,total_transaction_value,average_transaction_value,unique_users,failed_transaction_count,chargeback_count,chargeback_amount,high_severity_chargeback_count,identity_mismatch_count,disconnected_relationship_count,merchant_reference_record_count,merchant_name,merchant_category,business_type,merchant_status,mcc,city,state,declared_avg_ticket_size,merchant_status_values,merchant_category_values,merchant_status_count,merchant_category_count,invalid_mcc_records,suspended_reference_records,merchant_reference_inconsistency_flag,chargeback_records_per_transaction,chargeback_rate_eligible,chargeback_rate_min_volume,ticket_size_variance_ratio,high_chargeback_rate_flag,high_chargeback_activity_flag,risk_signal_count,risk_explanations,investigation_priority
MCH5292,2.0,25194.96,12597.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,542.0,ACTIVE | INACTIVE,KIRANA | OTHER,2.0,2.0,0.0,0.0,True,0.0,False,,23.242583025830257,False,False,1,inconsistent merchant-master records,WATCH
MCH4523,3.0,32649.82,10883.273333333333,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.3333333333333333,False,,,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH5213,7.0,121982.15,17426.02142857143,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Keer-Yadav,HOTEL_LODGING,PRIVATE_LIMITED,ACTIVE,07011,JALANDHAR,PUNJAB,2157.19,ACTIVE,HOTEL_LODGING,1.0,1.0,1.0,0.0,False,0.0,True,0.0,8.078111537959765,False,False,0,No elevated analytical signals in the available data.,LOW
MCH4890,2.0,13249.960000000001,6624.9800000000005,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH9819,1.0,20100.92,20100.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH6009,4.0,79151.28,19787.82,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Nagar, Chowdhury and Raghavan",STATIONERY,PRIVATE_LIMITED,ACTIVE,UNKNOWN,PUNE,MAHARASHTRA,1266.03,ACTIVE,STATIONERY,1.0,1.0,1.0,0.0,False,0.0,False,,15.62981919859719,False,False,0,No elevated analytical signals in the available data.,LOW
MCH8222,4.0,37419.740000000005,12473.246666666668,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH8480,3.0,49478.51,16492.836666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Doshi-Sarin,TRANSPORTATION,INDIVIDUAL,ACTIVE,4131,PUNE,MAHARASHTRA,,ACTIVE,TRANSPORTATION,1.0,1.0,0.0,0.0,False,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH8216,6.0,69163.44,13832.688,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,True,0.0,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3250,3.0,24942.510000000002,8314.17,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Bose-Kalita,DEPARTMENT_STORES,SOLE_PROPRIETOR,INACTIVE,5311,MUMBAI,MAHARASHTRA,1514.47,INACTIVE,DEPARTMENT_STORES,1.0,1.0,0.0,0.0,False,0.0,False,,5.4898215217204696,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3895,2.0,26782.38,13391.19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Wable-Sarna,HOTELS,PRIVATE_LIMITED,INACTIVE,,JAIPUR,RAJASTHAN,797.39,INACTIVE,HOTELS,1.0,1.0,1.0,0.0,False,0.0,False,,16.79377719810883,False,False,0,No elevated analytical signals in the available data.,LOW
MCH4645,4.0,45195.33,11298.8325,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH4207,3.0,7392.26,2464.0866666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH1206,4.0,36844.630000000005,9211.157500000001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH1683,4.0,57129.6,14282.4,4.0,1.0,1.0,1407.0,0.0,1.0,1.0,1.0,"Sampath, Anne and Madan",FOOD_SERVICES,PARTNERSHIP,ACTIVE,5812,MADRAS,TAMIL_NADU,2458.98,ACTIVE,FOOD_SERVICES,1.0,1.0,0.0,0.0,False,0.25,False,,5.808261962277042,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH6621,3.0,45528.68000000001,15176.22666666667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH8759,2.0,27610.67,13805.335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH8074,4.0,46793.369999999995,11698.342499999999,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Prakash-Bera,TELECOM,INDIVIDUAL,ACTIVE,4814,JALANDHAR,PUNJAB,439.79,ACTIVE,TELECOM,1.0,1.0,0.0,0.0,False,0.0,False,,26.599837422406143,False,False,0,No elevated analytical signals in the available data.,LOW
MCH5711,3.0,25058.14,8352.713333333333,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH9490,6.0,67286.15,11214.358333333332,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,True,0.0,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH4964,4.0,66454.31,16613.5775,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,SARKAR-GODA,DEPT_STORE,PRIVATE_LIMITED,MULTIPLE_VALUES,5311,POONA,MAHARASHTRA,1517.0,ACTIVE | SUSPENDED,DEPT_STORE,2.0,1.0,0.0,1.0,True,0.0,False,,10.951600197758735,False,False,2,inconsistent merchant-master records; suspended merchant-master status,WATCH
MCH1798,3.0,38565.97,12855.323333333334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH5376,3.0,55961.78,18653.926666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Narayanan, Palla and Tripathi",PHONE_SERVICE,SOLE_PROPRIETOR,ACTIVE,4814,LUDHIANA,PUNJAB,2169.37,ACTIVE,PHONE_SERVICE,1.0,1.0,0.0,0.0,False,0.0,False,,8.59877598872791,False,False,0,No elevated analytical signals in the available data.,LOW
MCH1058,4.0,53848.59,13462.1475,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Vyas,VirkandDatta",DEPT_STORE,PARTNERSHIP,ACTIVE,05311,POONA,MAHARASHTRA,1504.39,ACTIVE,DEPT_STORE,1.0,1.0,1.0,0.0,False,0.0,False,,8.948575502363083,False,False,0,No elevated analytical signals in the available data.,LOW
MCH6075,4.0,65545.48999999999,16386.372499999998,4.0,1.0,1.0,1305.0,1.0,1.0,1.0,1.0,"Lad, Menon and Tiwari",MOBILE_RECHARGE,PRIVATE_LIMITED,ACTIVE,4814,BLR,KARNATAKA,709.64,ACTIVE,MOBILE_RECHARGE,1.0,1.0,0.0,0.0,False,0.25,False,,23.091106053773743,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH5104,4.0,60526.39,15131.5975,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3197,5.0,74321.92,14864.384,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,True,0.0,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH4915,4.0,63303.44,15825.86,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH9260,4.0,39300.32,9825.08,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH6109,4.0,49605.78,12401.445,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,Sampath Ltd,TELECOM,INDIVIDUAL,ACTIVE,4814,LDH,PUNJAB,399.08,ACTIVE,TELECOM,1.0,1.0,0.0,0.0,False,0.0,False,,31.075085195950688,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3071,1.0,7504.98,7504.98,1.0,0.0,1.0,253.89,0.0,1.0,1.0,1.0,Misra-Padmanabhan,RESTAURANTS,SOLE_PROPRIETOR,ACTIVE,5812,LUDHIANA,PUNJAB,,ACTIVE,RESTAURANTS,1.0,1.0,0.0,0.0,False,1.0,False,,,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH5401,6.0,30566.46,5094.41,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,5311,MULTIPLE_VALUES,MULTIPLE_VALUES,3231.0,ACTIVE,BOOKS_STATIONERY | DEPARTMENT_STORE,1.0,2.0,1.0,0.0,True,0.0,True,0.0,1.5767285670071185,False,False,1,inconsistent merchant-master records,WATCH
MCH6961,5.0,39816.59,7963.317999999999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,True,0.0,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH4549,4.0,46535.71,11633.9275,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3715,5.0,60815.58,12163.116,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,BANSAL INC,BOOKS,INDIVIDUAL,SUSPENDED,5942,LUCKNOW,UTTAR_PRADESH,2025.81,SUSPENDED,BOOKS,1.0,1.0,0.0,1.0,False,0.0,True,0.0,6.004075406874287,False,False,1,suspended merchant-master status,WATCH
MCH7932,7.0,84058.99,12008.427142857143,7.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,4814,MULTIPLE_VALUES,MULTIPLE_VALUES,4410.18,ACTIVE,KIRANA | TELECOM,1.0,2.0,1.0,0.0,True,0.0,True,0.0,2.722888213827359,False,False,1,inconsistent merchant-master records,WATCH
MCH9669,2.0,32516.93,16258.465,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH7681,2.0,20415.9,10207.95,2.0,0.0,1.0,2379.68,0.0,1.0,1.0,3.0,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1955.63,ACTIVE,RETAIL | TELECOM | TRANSPORTATION,1.0,3.0,1.0,0.0,True,0.5,False,,5.219775724446854,False,True,4,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship; inconsistent merchant-master records,ELEVATED_REVIEW
MCH4490,3.0,37727.35,12575.783333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,513.7,ACTIVE,GROCERIES | RESTAURANTS,1.0,2.0,0.0,0.0,True,0.0,False,,24.480792940107712,False,False,1,inconsistent merchant-master records,WATCH
MCH8511,2.0,18894.68,9447.34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,KOLKATA,WEST_BENGAL,2755.62,ACTIVE,GROCERY | TRAVEL,1.0,2.0,0.0,0.0,True,0.0,False,,3.4283899812020526,False,False,1,inconsistent merchant-master records,WATCH
MCH8936,5.0,38123.75,7624.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,True,0.0,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3235,1.0,1728.09,1728.09,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,0.0,0.0,,,,1.0,False,,,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH9776,3.0,19218.78,6406.259999999999,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH5563,4.0,63456.6,15864.15,4.0,0.0,1.0,755.08,1.0,1.0,1.0,1.0,"Dubey, Wali and Yadav",GARMENTS,SOLE_PROPRIETOR,ACTIVE,,KOLKATA,WEST_BENGAL,2198.0,ACTIVE,GARMENTS,1.0,1.0,1.0,0.0,False,0.25,False,,7.217538671519563,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH8033,3.0,53210.72,17736.906666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1390.13,ACTIVE | SUSPENDED,BOOK_STORE | DEPARTMENT_STORE | MISC_RETAIL,2.0,3.0,1.0,1.0,True,0.0,False,,12.759171204611558,False,False,2,inconsistent merchant-master records; suspended merchant-master status,WATCH
MCH3684,3.0,37211.77,12403.923333333332,3.0,0.0,2.0,7570.6,0.0,2.0,2.0,1.0,Chahal-Reddy,GROCERY_STORE,PARTNERSHIP,ACTIVE,MISC,DELHI,DELHI,629.48,ACTIVE,GROCERY_STORE,1.0,1.0,1.0,0.0,False,0.6666666666666666,False,,19.70503166634894,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH4578,6.0,63817.2,10636.199999999999,6.0,0.0,2.0,2065.6800000000003,0.0,2.0,2.0,3.0,MULTIPLE_VALUES,MULTIPLE_VALUES,PRIVATE_LIMITED,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,504.9,ACTIVE | INACTIVE,BOOKS | BOOK_STORE | PHARMACIES,2.0,3.0,0.0,0.0,True,0.3333333333333333,True,0.3333333333333333,21.06595365418895,True,True,5,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship; high chargeback activity at at least 5 transactions; inconsistent merchant-master records,ELEVATED_REVIEW
MCH5171,3.0,31547.940000000002,10515.980000000001,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,"pandya, bawa and kibe",TRANSPORTATION,PARTNERSHIP,ACTIVE,4131,JPR,RAJASTHAN,1895.53,ACTIVE,TRANSPORTATION,1.0,1.0,0.0,0.0,False,0.3333333333333333,False,,5.547778193961584,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH7536,4.0,25939.47,6484.8675,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,Kalla-Deo,DEPT_STORE,PARTNERSHIP,ACTIVE,5311,KOLKATA,WEST_BENGAL,803.42,ACTIVE,DEPT_STORE,1.0,1.0,0.0,0.0,False,0.0,False,,8.07157837743646,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3478,3.0,25311.1,8437.033333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3992,3.0,46034.66,15344.886666666667,3.0,1.0,26.0,64727.9,9.0,24.0,26.0,0.0,,,,,,,,,,,0.0,0.0,,,,8.666666666666666,False,,,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH8495,5.0,71295.36,14259.072,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,True,0.0,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH2222,5.0,52578.99,10515.797999999999,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Mani, Ravel and Agrawal",CLOTHS,SOLE_PROPRIETOR,ACTIVE,UNKNOWN,LKO,UTTAR_PRADESH,815.84,ACTIVE,CLOTHS,1.0,1.0,1.0,0.0,False,0.0,True,0.0,12.88953471268876,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3468,2.0,19099.47,9549.735,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aurora-Ben,HOSPITALITY,PRIVATE_LIMITED,ACTIVE,,HYD,TELANGANA,199.0,ACTIVE,HOSPITALITY,1.0,1.0,1.0,0.0,False,0.0,False,,47.98861809045226,False,False,0,No elevated analytical signals in the available data.,LOW
MCH9899,3.0,42918.81,14306.269999999999,3.0,0.0,1.0,5283.13,1.0,0.0,1.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.3333333333333333,False,,,False,True,2,high chargeback activity; disconnected user-merchant relationship,WATCH
MCH1318,3.0,33123.479999999996,11041.159999999998,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,GUPTA LLC,TELECOM,PRIVATE_LIMITED,ACTIVE,4814,JAIPUR,RAJASTHAN,,ACTIVE,TELECOM,1.0,1.0,0.0,0.0,False,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH6411,3.0,66768.89,22256.296666666665,3.0,1.0,1.0,1675.84,0.0,1.0,1.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.3333333333333333,False,,,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH6787,6.0,55838.740000000005,9306.456666666667,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,True,0.0,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH9694,6.0,109489.68,18248.28,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,True,0.0,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH2324,1.0,12011.12,12011.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH2258,5.0,83676.79,16735.358,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Walia Group,DEPT_STORE,SOLE_PROPRIETOR,ACTIVE,5311,JALANDHAR,PUNJAB,1902.49,ACTIVE,DEPT_STORE,1.0,1.0,0.0,0.0,False,0.0,True,0.0,8.796555041025183,False,False,0,No elevated analytical signals in the available data.,LOW
MCH8382,1.0,14757.01,14757.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH8181,4.0,73551.19,18387.7975,4.0,0.0,2.0,1385.01,0.0,2.0,2.0,1.0,Mall-Chatterjee,TRANSPORTATION,INDIVIDUAL,ACTIVE,4131,AMRITSAR,PUNJAB,,ACTIVE,TRANSPORTATION,1.0,1.0,0.0,0.0,False,0.5,False,,,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH5333,3.0,49921.61,16640.536666666667,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Rajagopal-Agate,TELECOM,SOLE_PROPRIETOR,INACTIVE,4814,ASR,PUNJAB,15510.71,INACTIVE,TELECOM,1.0,1.0,0.0,0.0,False,0.0,False,,1.0728417117376747,False,False,0,No elevated analytical signals in the available data.,LOW
MCH9888,1.0,10222.36,10222.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,MULTIPLE_VALUES,MULTIPLE_VALUES,SOLE_PROPRIETOR,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1367.96,ACTIVE | INACTIVE | SUSPENDED,KIRANA | MOBILE_RECHARGE | PHARMACY,3.0,3.0,1.0,1.0,True,0.0,False,,7.472703880230417,False,False,2,inconsistent merchant-master records; suspended merchant-master status,WATCH
MCH6271,2.0,13916.49,6958.245,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH1799,4.0,59374.9,14843.725,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH9129,2.0,28034.45,14017.225,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"sinha, chauhan and sathe",GROCERY,PARTNERSHIP,ACTIVE,5411,CALCUTTA,WEST_BENGAL,914.12,ACTIVE,GROCERY,1.0,1.0,0.0,0.0,False,0.0,False,,15.334119152846453,False,False,0,No elevated analytical signals in the available data.,LOW
MCH4330,2.0,40557.21,20278.605,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Viswanathan, Morar and Barad",TRANSPRT,INDIVIDUAL,ACTIVE,4131,JALANDHAR,PUNJAB,151.73,ACTIVE,TRANSPRT,1.0,1.0,0.0,0.0,False,0.0,False,,133.6492783233375,False,False,0,No elevated analytical signals in the available data.,LOW
MCH3778,3.0,40379.53,13459.843333333332,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,INACTIVE,5912,MULTIPLE_VALUES,MULTIPLE_VALUES,2000.83,INACTIVE,PHARMACIES | PHONE_SERVICE,1.0,2.0,1.0,0.0,True,0.0,False,,6.727129907754948,False,False,1,inconsistent merchant-master records,WATCH
MCH2807,3.0,28918.68,9639.56,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH5569,3.0,19455.13,6485.043333333334,3.0,1.0,1.0,3800.57,0.0,1.0,1.0,1.0,"Thaman, Kar and Dass",MISC_RETAIL,SOLE_PROPRIETOR,INACTIVE,5999,MUMBAI,MAHARASHTRA,3592.34,INACTIVE,MISC_RETAIL,1.0,1.0,0.0,0.0,False,0.3333333333333333,False,,1.8052420799070616,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
