node_id,node_type,degree,component_id,component_size,transaction_connected_component,risk_signal_count,investigation_priority
MCH3643,MERCHANT,4,77,15,True,3,ELEVATED_REVIEW
MCH8900,MERCHANT,5,77,15,True,1,WATCH
USR10363,USER,1,78,27,True,1,WATCH
MCH8130,MERCHANT,7,78,27,True,0,LOW
USR10364,USER,2,79,5,True,1,WATCH
MCH6125,MERCHANT,1,79,5,True,0,LOW
MCH7982,MERCHANT,3,79,5,True,3,ELEVATED_REVIEW
USR10365,USER,1,80,31,True,1,WATCH
MCH1195,MERCHANT,7,80,31,True,1,WATCH
USR10366,USER,1,81,3,True,1,WATCH
MCH1062,MERCHANT,2,81,3,True,0,LOW
USR10369,USER,1,82,3,True,1,WATCH
MCH1005,MERCHANT,2,82,3,True,0,LOW
USR10373,USER,1,83,2,True,1,WATCH
MCH8606,MERCHANT,1,83,2,True,0,LOW
USR10378,USER,2,84,11,True,1,WATCH
MCH5670,MERCHANT,5,84,11,True,0,LOW
MCH7476,MERCHANT,2,84,11,True,0,LOW
USR10382,USER,1,85,4,True,1,WATCH
MCH6531,MERCHANT,3,85,4,True,0,LOW
USR10385,USER,1,86,6,True,1,WATCH
MCH6061,MERCHANT,5,86,6,True,6,ELEVATED_REVIEW
USR10391,USER,1,87,5,True,1,WATCH
MCH2155,MERCHANT,3,87,5,True,0,LOW
USR10393,USER,1,88,12,True,2,WATCH
MCH6824,MERCHANT,7,88,12,True,0,LOW
USR10396,USER,1,89,4,True,1,WATCH
MCH7606,MERCHANT,3,89,4,True,0,LOW
USR10400,USER,2,90,7,True,1,WATCH
MCH2258,MERCHANT,5,90,7,True,0,LOW
MCH6778,MERCHANT,1,90,7,True,0,LOW
USR10402,USER,2,91,35,True,1,WATCH
MCH1041,MERCHANT,6,91,35,True,3,ELEVATED_REVIEW
MCH1519,MERCHANT,3,91,35,True,0,LOW
USR10411,USER,1,92,11,True,1,WATCH
MCH9623,MERCHANT,4,92,11,True,1,WATCH
USR10415,USER,1,93,10,True,1,WATCH
MCH1424,MERCHANT,5,93,10,True,0,LOW
USR10421,USER,1,94,16,True,1,WATCH
MCH3852,MERCHANT,4,94,16,True,0,LOW
USR10422,USER,1,95,18,True,1,WATCH
MCH1782,MERCHANT,5,95,18,True,0,LOW
USR10428,USER,1,96,3,True,1,WATCH
MCH6133,MERCHANT,2,96,3,True,3,ELEVATED_REVIEW
USR10435,USER,1,97,4,True,1,WATCH
MCH5412,MERCHANT,3,97,4,True,3,ELEVATED_REVIEW
USR10436,USER,1,98,7,True,2,WATCH
MCH6944,MERCHANT,6,98,7,True,1,WATCH
USR10437,USER,1,99,8,True,1,WATCH
MCH2642,MERCHANT,3,99,8,True,0,LOW
USR10440,USER,1,100,12,True,1,WATCH
MCH5971,MERCHANT,6,100,12,True,0,LOW
USR10441,USER,1,101,5,True,1,WATCH
MCH9322,MERCHANT,4,101,5,True,0,LOW
USR10446,USER,1,102,27,True,1,WATCH
MCH1703,MERCHANT,4,102,27,True,0,LOW
USR10448,USER,1,103,5,True,1,WATCH
MCH2850,MERCHANT,4,103,5,True,1,WATCH
USR10449,USER,1,104,10,True,1,WATCH
MCH2231,MERCHANT,4,104,10,True,0,LOW
USR10452,USER,1,65,6,True,1,WATCH
USR10453,USER,1,105,17,True,1,WATCH
MCH8231,MERCHANT,7,105,17,True,0,LOW
USR10459,USER,1,106,3,True,1,WATCH
MCH7215,MERCHANT,2,106,3,True,0,LOW
USR10465,USER,1,107,4,True,1,WATCH
MCH5467,MERCHANT,3,107,4,True,0,LOW
USR10471,USER,1,108,3,True,1,WATCH
MCH9141,MERCHANT,2,108,3,True,0,LOW
USR10473,USER,1,109,3,True,1,WATCH
MCH5871,MERCHANT,2,109,3,True,0,LOW
USR10478,USER,1,110,3,True,1,WATCH
MCH2307,MERCHANT,2,110,3,True,0,LOW
USR10484,USER,1,111,8,True,1,WATCH
MCH1361,MERCHANT,3,111,8,True,0,LOW
USR10485,USER,1,112,3,True,1,WATCH
MCH4363,MERCHANT,2,112,3,True,1,WATCH
USR10487,USER,1,113,3,True,1,WATCH
MCH2491,MERCHANT,2,113,3,True,0,LOW
USR10490,USER,1,114,6,True,1,WATCH
MCH5988,MERCHANT,3,114,6,True,0,LOW
USR10495,USER,1,115,9,True,1,WATCH
MCH2698,MERCHANT,6,115,9,True,1,WATCH
USR10497,USER,1,116,4,True,1,WATCH
MCH5004,MERCHANT,3,116,4,True,0,LOW
USR10503,USER,1,117,5,True,1,WATCH
MCH2752,MERCHANT,3,117,5,True,3,ELEVATED_REVIEW
USR10504,USER,2,118,11,True,1,WATCH
MCH2979,MERCHANT,4,118,11,True,0,LOW
MCH5637,MERCHANT,4,118,11,True,1,WATCH
USR10508,USER,1,119,2,True,1,WATCH
MCH1785,MERCHANT,1,119,2,True,3,ELEVATED_REVIEW
USR10525,USER,1,120,2,True,1,WATCH
MCH9247,MERCHANT,1,120,2,True,0,LOW
USR10529,USER,1,121,2,True,1,WATCH
MCH3199,MERCHANT,1,121,2,True,0,LOW
USR10533,USER,1,122,5,True,1,WATCH
MCH5193,MERCHANT,4,122,5,True,0,LOW
USR10535,USER,1,123,3,True,1,WATCH
MCH7733,MERCHANT,2,123,3,True,3,ELEVATED_REVIEW
USR10549,USER,1,124,8,True,1,WATCH
MCH8898,MERCHANT,5,124,8,True,0,LOW
USR10560,USER,1,59,23,True,1,WATCH
MCH4646,MERCHANT,5,59,23,True,4,ELEVATED_REVIEW
USR10561,USER,1,125,10,True,2,WATCH
MCH4449,MERCHANT,3,125,10,True,0,LOW
USR10563,USER,1,126,6,True,1,WATCH
MCH7182,MERCHANT,3,126,6,True,0,LOW
USR10564,USER,1,127,15,True,1,WATCH
MCH5529,MERCHANT,3,127,15,True,0,LOW
USR10565,USER,1,128,5,True,1,WATCH
MCH9445,MERCHANT,4,128,5,True,0,LOW
USR10569,USER,1,129,2,True,1,WATCH
MCH4362,MERCHANT,1,129,2,True,1,WATCH
USR10571,USER,1,130,8,True,1,WATCH
MCH8136,MERCHANT,4,130,8,True,3,ELEVATED_REVIEW
USR10572,USER,2,131,50,True,1,WATCH
MCH1301,MERCHANT,4,131,50,True,0,LOW
MCH9825,MERCHANT,2,131,50,True,0,LOW
USR10578,USER,1,132,3,True,2,WATCH
MCH2392,MERCHANT,2,132,3,True,0,LOW
USR10579,USER,2,133,10,True,2,WATCH
MCH8202,MERCHANT,7,133,10,True,0,LOW
MCH9321,MERCHANT,1,133,10,True,0,LOW
USR10591,USER,1,134,4,True,1,WATCH
MCH6720,MERCHANT,3,134,4,True,0,LOW
USR10593,USER,1,135,10,True,1,WATCH
MCH6996,MERCHANT,3,135,10,True,0,LOW
USR10599,USER,1,136,38,True,1,WATCH
MCH7622,MERCHANT,4,136,38,True,4,ELEVATED_REVIEW
USR10603,USER,1,137,6,True,1,WATCH
MCH4367,MERCHANT,5,137,6,True,1,WATCH
USR10610,USER,1,138,14,True,1,WATCH
MCH7989,MERCHANT,5,138,14,True,0,LOW
USR10614,USER,1,139,3,True,1,WATCH
MCH6162,MERCHANT,2,139,3,True,0,LOW
USR10621,USER,1,140,4,True,1,WATCH
MCH4079,MERCHANT,3,140,4,True,0,LOW
USR10624,USER,1,141,2,True,1,WATCH
MCH4301,MERCHANT,1,141,2,True,0,LOW
USR10627,USER,1,118,11,True,1,WATCH
USR10632,USER,1,142,7,True,1,WATCH
MCH7796,MERCHANT,4,142,7,True,0,LOW
USR10637,USER,1,143,4,True,2,WATCH
MCH7886,MERCHANT,3,143,4,True,0,LOW
USR10643,USER,1,144,2,True,1,WATCH
MCH9600,MERCHANT,1,144,2,True,0,LOW
USR10647,USER,1,145,3,True,1,WATCH
MCH6894,MERCHANT,2,145,3,True,0,LOW
USR10648,USER,1,146,48,True,2,WATCH
MCH3509,MERCHANT,7,146,48,True,1,WATCH
USR10649,USER,2,147,29,True,1,WATCH
MCH7962,MERCHANT,4,147,29,True,2,WATCH
MCH8252,MERCHANT,3,147,29,True,0,LOW
USR10651,USER,1,148,4,True,2,WATCH
MCH5726,MERCHANT,2,148,4,True,0,LOW
USR10652,USER,1,149,11,True,2,WATCH
MCH9079,MERCHANT,5,149,11,True,4,ELEVATED_REVIEW
USR10662,USER,2,150,15,True,1,WATCH
MCH1239,MERCHANT,1,150,15,True,0,LOW
MCH4872,MERCHANT,4,150,15,True,0,LOW
USR10667,USER,1,137,6,True,1,WATCH
USR10673,USER,1,151,3,True,1,WATCH
MCH9990,MERCHANT,2,151,3,True,0,LOW
USR10674,USER,1,152,4,True,1,WATCH
MCH8332,MERCHANT,3,152,4,True,0,LOW
USR10692,USER,1,153,4,True,1,WATCH
MCH9264,MERCHANT,3,153,4,True,0,LOW
USR10698,USER,1,154,3,True,1,WATCH
MCH9761,MERCHANT,2,154,3,True,0,LOW
USR10705,USER,1,155,9,True,1,WATCH
MCH9200,MERCHANT,4,155,9,True,0,LOW
USR10716,USER,1,156,3,True,1,WATCH
MCH6386,MERCHANT,2,156,3,True,0,LOW
USR10730,USER,1,157,4,True,1,WATCH
MCH2354,MERCHANT,3,157,4,True,0,LOW
USR10731,USER,1,158,42,True,1,WATCH
MCH5590,MERCHANT,3,158,42,True,0,LOW
USR10736,USER,1,159,6,True,1,WATCH
MCH5650,MERCHANT,5,159,6,True,4,ELEVATED_REVIEW
USR10743,USER,1,160,7,True,1,WATCH
MCH6581,MERCHANT,3,160,7,True,0,LOW
USR10746,USER,1,161,4,True,1,WATCH
MCH7171,MERCHANT,3,161,4,True,3,ELEVATED_REVIEW
USR10749,USER,1,162,5,True,1,WATCH
MCH6860,MERCHANT,3,162,5,True,0,LOW
USR10758,USER,1,163,3,True,2,WATCH
MCH1675,MERCHANT,2,163,3,True,2,WATCH
USR10761,USER,1,164,5,True,1,WATCH
MCH3623,MERCHANT,4,164,5,True,0,LOW
USR10766,USER,1,165,7,True,1,WATCH
MCH9448,MERCHANT,4,165,7,True,0,LOW
USR10769,USER,1,166,3,True,1,WATCH
MCH1532,MERCHANT,2,166,3,True,0,LOW
USR10770,USER,1,167,4,True,1,WATCH
MCH9767,MERCHANT,3,167,4,True,0,LOW
USR10773,USER,1,168,2,True,1,WATCH
MCH8127,MERCHANT,1,168,2,True,0,LOW
USR10778,USER,1,169,2,True,1,WATCH
MCH4450,MERCHANT,1,169,2,True,0,LOW
USR10783,USER,1,170,3,True,1,WATCH
MCH6000,MERCHANT,2,170,3,True,0,LOW
USR10789,USER,1,171,9,True,1,WATCH
MCH6745,MERCHANT,3,171,9,True,0,LOW
USR10796,USER,1,172,7,True,1,WATCH
MCH8269,MERCHANT,3,172,7,True,0,LOW
USR10800,USER,1,173,4,True,1,WATCH
MCH6190,MERCHANT,3,173,4,True,0,LOW
USR10802,USER,2,174,7,True,1,WATCH
MCH7618,MERCHANT,2,174,7,True,1,WATCH
MCH8012,MERCHANT,3,174,7,True,0,LOW
USR10818,USER,1,175,5,True,1,WATCH
MCH4613,MERCHANT,4,175,5,True,1,WATCH
USR10819,USER,1,176,10,True,1,WATCH
MCH7841,MERCHANT,4,176,10,True,0,LOW
USR10820,USER,1,177,7,True,1,WATCH
MCH8014,MERCHANT,3,177,7,True,0,LOW
USR10822,USER,1,178,2,True,1,WATCH
MCH4662,MERCHANT,1,178,2,True,0,LOW
USR10824,USER,1,179,6,True,1,WATCH
MCH8134,MERCHANT,4,179,6,True,0,LOW
USR10827,USER,2,180,5,True,1,WATCH
MCH3974,MERCHANT,2,180,5,True,1,WATCH
MCH5121,MERCHANT,2,180,5,True,1,WATCH
USR10832,USER,1,181,4,True,1,WATCH
MCH1114,MERCHANT,3,181,4,True,0,LOW
USR10833,USER,1,182,6,True,1,WATCH
MCH1735,MERCHANT,5,182,6,True,0,LOW
USR10834,USER,1,183,18,True,1,WATCH
MCH7638,MERCHANT,5,183,18,True,0,LOW
USR10841,USER,1,184,2,True,1,WATCH
MCH9858,MERCHANT,1,184,2,True,4,ELEVATED_REVIEW
USR10846,USER,1,185,9,True,1,WATCH
MCH5621,MERCHANT,4,185,9,True,0,LOW
USR10851,USER,1,186,31,True,1,WATCH
MCH4016,MERCHANT,2,186,31,True,0,LOW
USR10853,USER,1,187,4,True,1,WATCH
MCH4735,MERCHANT,3,187,4,True,0,LOW
USR10854,USER,1,188,6,True,1,WATCH
MCH4650,MERCHANT,5,188,6,True,4,ELEVATED_REVIEW
USR10859,USER,1,189,23,True,1,WATCH
MCH2915,MERCHANT,3,189,23,True,4,ELEVATED_REVIEW
USR10881,USER,2,190,13,True,1,WATCH
MCH4492,MERCHANT,4,190,13,True,0,LOW
MCH7729,MERCHANT,4,190,13,True,1,WATCH
USR10888,USER,1,191,4,True,1,WATCH
MCH4792,MERCHANT,3,191,4,True,0,LOW
USR10897,USER,2,92,11,True,1,WATCH
MCH9042,MERCHANT,4,92,11,True,0,LOW
USR10902,USER,2,192,12,True,1,WATCH
MCH4220,MERCHANT,5,192,12,True,1,WATCH
MCH4705,MERCHANT,1,192,12,True,3,ELEVATED_REVIEW
USR10906,USER,1,105,17,True,1,WATCH
MCH7570,MERCHANT,4,105,17,True,3,ELEVATED_REVIEW
USR10911,USER,1,193,6,True,1,WATCH
MCH2175,MERCHANT,3,193,6,True,0,LOW
USR10914,USER,1,194,3,True,2,WATCH
MCH6978,MERCHANT,2,194,3,True,0,LOW
USR10915,USER,1,195,2,True,1,WATCH
MCH7454,MERCHANT,1,195,2,True,0,LOW
USR10918,USER,1,196,5,True,1,WATCH
MCH6566,MERCHANT,4,196,5,True,1,WATCH
USR10923,USER,1,197,15,True,1,WATCH
MCH9944,MERCHANT,3,197,15,True,3,ELEVATED_REVIEW
USR10928,USER,1,198,9,True,1,WATCH
MCH2496,MERCHANT,3,198,9,True,0,LOW
USR10932,USER,1,199,13,True,1,WATCH
MCH7451,MERCHANT,6,199,13,True,0,LOW
USR10937,USER,1,200,2,True,1,WATCH
MCH2415,MERCHANT,1,200,2,True,0,LOW
USR10949,USER,1,201,9,True,1,WATCH
MCH9293,MERCHANT,4,201,9,True,0,LOW
USR10951,USER,1,202,8,True,1,WATCH
MCH1704,MERCHANT,4,202,8,True,0,LOW
USR10959,USER,2,203,37,True,1,WATCH
MCH3441,MERCHANT,3,203,37,True,3,ELEVATED_REVIEW
MCH8872,MERCHANT,6,203,37,True,0,LOW
USR10963,USER,1,204,4,True,1,WATCH
MCH2004,MERCHANT,3,204,4,True,0,LOW
USR10971,USER,1,205,5,True,1,WATCH
MCH9583,MERCHANT,4,205,5,True,1,WATCH
USR10973,USER,1,206,3,True,1,WATCH
MCH4591,MERCHANT,2,206,3,True,0,LOW
USR10974,USER,1,207,3,True,1,WATCH
MCH6749,MERCHANT,2,207,3,True,0,LOW
USR10975,USER,1,208,3,True,1,WATCH
MCH8263,MERCHANT,2,208,3,True,1,WATCH
USR10993,USER,1,209,4,True,1,WATCH
MCH6714,MERCHANT,3,209,4,True,3,ELEVATED_REVIEW
USR10994,USER,1,210,5,True,1,WATCH
MCH8993,MERCHANT,3,210,5,True,0,LOW
USR10996,USER,1,211,5,True,1,WATCH
MCH6333,MERCHANT,4,211,5,True,0,LOW
USR10999,USER,1,212,5,True,1,WATCH
MCH6280,MERCHANT,4,212,5,True,0,LOW
USR11003,USER,2,92,11,True,1,WATCH
MCH5456,MERCHANT,2,92,11,True,3,ELEVATED_REVIEW
USR11006,USER,1,213,18,True,1,WATCH
MCH8671,MERCHANT,3,213,18,True,0,LOW
USR11010,USER,1,214,3,True,1,WATCH
MCH3308,MERCHANT,2,214,3,True,4,ELEVATED_REVIEW
USR11030,USER,1,215,4,True,1,WATCH
MCH8350,MERCHANT,3,215,4,True,3,ELEVATED_REVIEW
USR11035,USER,1,216,7,True,1,WATCH
MCH7607,MERCHANT,6,216,7,True,3,ELEVATED_REVIEW
USR11037,USER,1,217,5,True,1,WATCH
MCH4432,MERCHANT,4,217,5,True,0,LOW
USR11038,USER,1,218,2,True,1,WATCH
MCH5058,MERCHANT,1,218,2,True,0,LOW
USR11042,USER,1,219,10,True,1,WATCH
MCH9379,MERCHANT,4,219,10,True,0,LOW
USR11045,USER,2,220,5,True,1,WATCH
MCH7714,MERCHANT,2,220,5,True,3,ELEVATED_REVIEW
MCH9993,MERCHANT,2,220,5,True,0,LOW
USR11047,USER,1,221,4,True,2,WATCH
MCH5721,MERCHANT,3,221,4,True,3,ELEVATED_REVIEW
USR11050,USER,1,222,5,True,1,WATCH
MCH1557,MERCHANT,3,222,5,True,0,LOW
USR11055,USER,1,223,4,True,1,WATCH
MCH3107,MERCHANT,3,223,4,True,0,LOW
USR11057,USER,1,224,4,True,4,ELEVATED_REVIEW
MCH1594,MERCHANT,3,224,4,True,0,LOW
USR11058,USER,1,225,2,True,1,WATCH
MCH3989,MERCHANT,1,225,2,True,3,ELEVATED_REVIEW
USR11063,USER,1,226,3,True,1,WATCH
MCH4074,MERCHANT,2,226,3,True,0,LOW
USR11073,USER,1,227,4,True,1,WATCH
MCH4410,MERCHANT,3,227,4,True,0,LOW
USR11082,USER,1,228,4,True,1,WATCH
MCH2899,MERCHANT,3,228,4,True,1,WATCH
USR11084,USER,1,229,4,True,1,WATCH
MCH9019,MERCHANT,3,229,4,True,0,LOW
USR11096,USER,2,131,50,True,1,WATCH
MCH4482,MERCHANT,4,131,50,True,0,LOW
MCH8203,MERCHANT,3,131,50,True,3,ELEVATED_REVIEW
USR11098,USER,1,230,4,True,1,WATCH
MCH9028,MERCHANT,3,230,4,True,3,ELEVATED_REVIEW
USR11103,USER,1,231,5,True,1,WATCH
MCH2321,MERCHANT,4,231,5,True,0,LOW
USR11104,USER,1,232,3,True,1,WATCH
MCH8621,MERCHANT,2,232,3,True,0,LOW
USR11105,USER,1,233,4,True,1,WATCH
MCH9581,MERCHANT,3,233,4,True,3,ELEVATED_REVIEW
USR11110,USER,1,234,4,True,4,ELEVATED_REVIEW
MCH6809,MERCHANT,3,234,4,True,0,LOW
USR11112,USER,1,235,12,True,1,WATCH
MCH8495,MERCHANT,5,235,12,True,0,LOW
USR11115,USER,1,236,7,True,1,WATCH
MCH7351,MERCHANT,4,236,7,True,3,ELEVATED_REVIEW
USR11118,USER,1,237,3,True,1,WATCH
MCH4246,MERCHANT,2,237,3,True,3,ELEVATED_REVIEW
USR11119,USER,1,238,3,True,1,WATCH
MCH2750,MERCHANT,2,238,3,True,0,LOW
USR11129,USER,1,239,4,True,2,WATCH
MCH5766,MERCHANT,3,239,4,True,0,LOW
USR11130,USER,1,240,3,True,2,WATCH
MCH1216,MERCHANT,2,240,3,True,1,WATCH
USR11135,USER,1,241,6,True,1,WATCH
MCH3001,MERCHANT,5,241,6,True,4,ELEVATED_REVIEW
USR11136,USER,1,242,2,True,1,WATCH
MCH7480,MERCHANT,1,242,2,True,3,ELEVATED_REVIEW
USR11137,USER,1,243,2,True,1,WATCH
MCH3879,MERCHANT,1,243,2,True,0,LOW
USR11143,USER,1,244,3,True,1,WATCH
MCH7757,MERCHANT,2,244,3,True,0,LOW
USR11145,USER,1,245,34,True,1,WATCH
MCH5757,MERCHANT,5,245,34,True,0,LOW
USR11146,USER,1,246,3,True,1,WATCH
MCH9075,MERCHANT,2,246,3,True,0,LOW
USR11157,USER,1,247,4,True,1,WATCH
MCH7696,MERCHANT,3,247,4,True,0,LOW
USR11158,USER,1,248,4,True,1,WATCH
MCH8530,MERCHANT,3,248,4,True,0,LOW
USR11160,USER,1,249,3,True,1,WATCH
